journal_short,issn,year,journal,title,authors,doi,url,abstract,type,issue,volume,score,is_referenced_by_count
,1043-951X,2024,China Economic Review,Does liquidity regulation affect commercial banks' carbon bias? Evidence from China,"Dai, Junxun; Liu, Yan; Yuan, Wei; Zou, Xin",10.1016/j.chieco.2024.102253,https://doi.org/10.1016/j.chieco.2024.102253,,journal-article,,87,5.1326036,2
,1043-951X,2024,China Economic Review,Price of going green: The employment effects of the environmental protection tax in China,"Lu, Shuling; Yang, Qijing",10.1016/j.chieco.2024.102244,https://doi.org/10.1016/j.chieco.2024.102244,,journal-article,,87,4.591031,20
,1043-951X,2024,China Economic Review,Uniform agricultural tax abolition and differential household labor supply: Evidence from China's urban household survey,"Cai, Jun; Zhao, Kui",10.1016/j.chieco.2024.102175,https://doi.org/10.1016/j.chieco.2024.102175,,journal-article,,86,4.505212,0
,1043-951X,2026,China Economic Review,How polluting enterprises respond to Pigovian tax: Evidence from China's environmental protection tax law,"Yang, Xiaolei; Wan, Panbing; Yang, Mian",10.1016/j.chieco.2026.102723,https://doi.org/10.1016/j.chieco.2026.102723,,journal-article,,98,4.1862383,0
,1043-951X,2024,China Economic Review,How environmental information is capitalized into the housing market? Evidence from China's National Ambient Air Quality Standards,"Wang, Kunlun; Yao, Hongjiang",10.1016/j.chieco.2024.102264,https://doi.org/10.1016/j.chieco.2024.102264,,journal-article,,88,4.1596904,6
,1043-951X,2024,China Economic Review,Regulation-induced digitalization,"Zhang, Yunqi; Zhang, Xiaoyu",10.1016/j.chieco.2024.102262,https://doi.org/10.1016/j.chieco.2024.102262,,journal-article,,88,3.9769394,6
,1043-951X,2024,China Economic Review,The deterrent effect of environmental judicature on firms' pollution emissions: Evidence from a quasi-natural experiment in China,"Zhou, Peng; Huang, Xiaoqi; Song, Frank M.",10.1016/j.chieco.2024.102291,https://doi.org/10.1016/j.chieco.2024.102291,,journal-article,,88,3.8114235,16
,1043-951X,2026,China Economic Review,Political gestures or tightening mandates? New evidence for campaign-style environmental intervention in China,"Li, Jianglong; Sun, Shiqiang; Meng, Guanfei; Liu, Hongxun",10.1016/j.chieco.2026.102670,https://doi.org/10.1016/j.chieco.2026.102670,,journal-article,,96,3.8065817,0
,1043-951X,2025,China Economic Review,Assessing economic resilience in a manufacturing-based region through industrial restructuring with environmental thresholds: An updating framework,"Peng, Cheng; Qiao, Yawen; Long, Hai; Wang, Yaxing",10.1016/j.chieco.2025.102441,https://doi.org/10.1016/j.chieco.2025.102441,,journal-article,,92,3.7322404,4
,1043-951X,2026,China Economic Review,The impact of environmental concern on cross-regional investment: Evidence from Chinese new energy enterprises,"Mao, Qilin; Guo, Chongyang",10.1016/j.chieco.2025.102647,https://doi.org/10.1016/j.chieco.2025.102647,,journal-article,,95,3.6679864,1
,1043-951X,2024,China Economic Review,Administrative division adjustment and environmental pollution: Evidence from City-County Mergers in China,"Ma, Hongqi; Zou, Jingxian; Cai, Hongbo; Zhang, Li",10.1016/j.chieco.2024.102141,https://doi.org/10.1016/j.chieco.2024.102141,,journal-article,,84,3.52238,29
,1043-951X,2024,China Economic Review,Environmental co-benefits of climate mitigation: Evidence from clean development mechanism projects in China,"Wan, Panbing; Zhang, ZhongXiang; Chen, Lin",10.1016/j.chieco.2024.102182,https://doi.org/10.1016/j.chieco.2024.102182,,journal-article,,85,2.9836462,10
,1043-951X,2024,China Economic Review,Information disclosure and public participation in environmental management: Evidence from the river chief system in China,"Liu, Yazhou; Cheng, Yunqian; Li, Tianshu; Ni, Jinlan; Norman, Stephen",10.1016/j.chieco.2024.102168,https://doi.org/10.1016/j.chieco.2024.102168,,journal-article,,85,2.8089561,23
,1043-951X,2026,China Economic Review,Targeted environmental policy and public welfare: Evidence from fireworks deregulation in China,"Yang, Jie; Wei, Chu; Shen, Renjun; Ji, Tonghui",10.1016/j.chieco.2026.102668,https://doi.org/10.1016/j.chieco.2026.102668,,journal-article,,96,2.7306921,0
