journal_short,issn,year,journal,title,authors,doi,url,abstract,type,issue,volume,score,is_referenced_by_count
,0002-8282,2022,American Economic Review,Supply and Demand in Disaggregated Keynesian Economies with an Application to the COVID-19 Crisis,"Baqaee, David; Farhi, Emmanuel",10.1257/aer.20201229,https://doi.org/10.1257/aer.20201229,"<jats:p> We study supply and demand shocks in a disaggregated model with multiple sectors, multiple factors, input-output linkages, downward nominal wage rigidities, credit-constraints, and a zero lower bound. We use the model to understand how the COVID-19 crisis, an omnibus supply and demand shock, affects output, unemployment, and inflation, and leads to the coexistence of tight and slack labor markets. We show that negative sectoral supply shocks are stagflationary, whereas negative demand shocks are deflationary, even though both can cause Keynesian unemployment. Furthermore, complementarities in production amplify Keynesian spillovers from supply shocks but mitigate them for demand shocks. This means that complementarities reduce the effectiveness of aggregate demand stimulus. In a stylized quantitative model of the United States, we find supply and demand shocks each explain about one-half of the reduction in real GDP from February to May 2020. Although there was as much as 6 percent Keynesian unemployment, this was concentrated in certain markets. Hence, aggregate demand stimulus is one quarter as effective as in a typical recession where all labor markets are slack. (JEL E12, E23, E24, E31, E32, E62, I12) </jats:p>",journal-article,5,112,6.36218,208
,0002-8282,2025,American Economic Review,"Supply, Demand, Institutions, and Firms: A Theory of Labor Market Sorting and the Wage Distribution","Haanwinckel, Daniel",10.1257/aer.20201293,https://doi.org/10.1257/aer.20201293,"<jats:p>This paper examines how workforce composition, labor demand, and minimum wage jointly determine wages through their effects on worker-task assignments, firm wage premiums, and firm-worker sorting. Using an estimated model of monopsonistic local labor markets, it finds that minimum wage hikes and labor demand shocks drove the decline in Brazilian wage inequality from 1998 to 2012. While rising educational attainment compressed skill premiums within firms, it also reallocated skilled workers to high-wage firms, limiting that shock’s effect on inequality. The analysis highlights interactions among exogenous factors, showing that concurrent supply and demand changes attenuated minimum wage impacts. (JEL J22, J23, J24, J31, J38, J42, R23)</jats:p>",journal-article,12,115,6.3174043,0
,0002-8282,2022,American Economic Review,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"Guerrieri, Veronica; Lorenzoni, Guido; Straub, Ludwig; Werning, Iván",10.1257/aer.20201063,https://doi.org/10.1257/aer.20201063,"<jats:p> Motivated by the effects of the COVID-19 pandemic, we present a theory of Keynesian supply shocks: shocks that reduce potential output in a sector of the economy, but that, by reducing demand in other sectors, ultimately push aggregate activity below potential. A Keynesian supply shock is more likely when the elasticity of substitution between sectors is relatively low, the intertemporal elasticity of substitution is relatively high, and markets are incomplete. Fiscal policy can display a smaller multiplier, but the insurance benefit of fiscal transfers can be enhanced. Firm exits and job destruction can amplify and propagate the shock. (JEL D52, E23, E24, E32, E62, I12, I18) </jats:p>",journal-article,5,112,6.30051,372
,0002-8282,2025,American Economic Review,Fiscal Policy and Credit Supply in a Crisis,"Bonfim, Diana; Ferreira, Miguel A.; Queiró, Francisco; Zhao, Sujiao (Emma)",10.1257/aer.20221499,https://doi.org/10.1257/aer.20221499,"<jats:p> We measure how cuts to public procurement propagate through the banking system in a financial crisis. During the European sovereign debt crisis, the Portuguese government cut procurement spending by 4.3 percent of GDP. We find that this cut saddled banks with nonperforming loans from government contractors, which led to a persistent reduction in credit supply to other firms. We estimate a bank-level elasticity of credit supply with respect to procurement demand of 2.5. In a general equilibrium model, our findings point to large effects of fiscal policy on credit supply and output in a crisis. (JEL E23, E44, E62, G01, G21, H57) </jats:p>",journal-article,6,115,6.2514944,8
,0022-3808,2024,Journal of Political Economy,"Childcare Markets, Parental Labor Supply, and Child Development","Berlinski, Samuel; Ferreyra, Maria Marta; Flabbi, Luca; Martin, Juan David",10.1086/728698,https://doi.org/10.1086/728698,,journal-article,6,132,6.2228355,9
,0002-8282,2024,American Economic Review,Household Labor Supply and the Value of Social Security Survivors Benefits,"Coyne, David; Fadlon, Itzik; Ramnath, Shanthi P.; Tong, Patricia K.",10.1257/aer.20190813,https://doi.org/10.1257/aer.20190813,"<jats:p> We combine quasi-experimental variation in spousal death and age eligibility for survivors benefits using US tax records to study the effects on American households’ labor supply and the design of social security’s survivors insurance. Benefit eligibility at the exact age of 60 induces sharp reductions in the labor supply of newly widowed households, highlighting the value of survivors benefits and the liquidity they provide following the shock. Among eligible widows, the spousal death event induces no increases in labor supply, suggesting little residual need to self-insure. Using theory, we underscore the program’s protective insurance role and its high valuation among survivors. (JEL D12, D91, G22, G51, H55, J16, J22) </jats:p>",journal-article,5,114,6.2032447,5
,0022-3808,2024,Journal of Political Economy,"Estimation of a Life-Cycle Model with Human Capital, Labor Supply, and Retirement","Fan, Xiaodong; Seshadri, Ananth; Taber, Christopher",10.1086/726232,https://doi.org/10.1086/726232,,journal-article,1,132,6.154222,16
,0034-6527,2022,The Review of Economic Studies,Are Marriage-Related Taxes and Social Security Benefits Holding Back Female Labour Supply?,"Borella, Margherita; De Nardi, Mariacristina; Yang, Fang",10.1093/restud/rdac018,https://doi.org/10.1093/restud/rdac018,"<jats:title>Abstract</jats:title>
                  <jats:p>In the US, both taxes and old-age social security benefits depend on one’s marital status and tend to reduce the labour supply of the secondary earner. To what extent are these provisions holding back the female labour supply? We estimate a rich dynamic life-cycle model of labour supply and savings for couples and singles using the Method of Simulated Moments for the 1945 and 1955 birth cohorts. Our model matches well the life-cycle profiles of labour market participation, hours, and savings for married and single people, and generates plausible elasticities of labour supply. It implies that eliminating these marriage-related provisions would drastically increase the participation of married women over their entire life cycle, reduce the participation of married men after age 60, and increase savings. If the resulting government surplus were used to lower income taxation, there would be large welfare gains for the vast majority of the population. These results hold for both cohorts, including the later one, which has participation similar to that of more recent generations.</jats:p>",journal-article,1,90,6.1264105,57
,0002-8282,2024,American Economic Review,Merchants of Death: The Effect of Credit Supply Shocks on Hospital Outcomes,"Aghamolla, Cyrus; Karaca-Mandic, Pinar; Li, Xuelin; Thakor, Richard T.",10.1257/aer.20221705,https://doi.org/10.1257/aer.20221705,"<jats:p> This study examines the link between credit supply and hospital health outcomes. We use bank stress tests as exogenous shocks to credit access for hospitals that have lending relationships with tested banks. We find that affected hospitals shift their operations to increase resource utilization following a negative credit shock but reduce the quality of their care to patients across a variety of measures, including a significant increase in risk-adjusted readmission and mortality rates. The results indicate that access to credit can affect the quality of health care hospitals deliver, pointing to important spillover effects of credit market frictions on health outcomes. (JEL G21, G32, I11, I18) </jats:p>",journal-article,11,114,6.098886,33
,0002-8282,2025,American Economic Review,Micro versus Macro Labor Supply Elasticities: The Role of Dynamic Returns to Effort,"Kleven, Henrik; Kreiner, Claus; Larsen, Kristian; Søgaard, Jakob",10.1257/aer.20240554,https://doi.org/10.1257/aer.20240554,"<jats:p> We investigate long-run earnings responses to taxes in the presence of dynamic returns to effort. First, we develop a theoretical model of earnings determination with dynamic returns to effort. In this model, earnings responses are delayed and mediated by job switches. Second, using administrative data from Denmark, we verify our model's predictions about earnings and hours-worked patterns over the life cycle. Third, we provide a quasi-experimental analysis of long-run earnings elasticities. Informed by our model, the empirical strategy exploits variation among job switchers. We find that the long-run elasticity is around 0.5, considerably larger than the short-run elasticity of roughly 0.2. (JEL D31, H24, H31, J22, J31, J62) </jats:p>",journal-article,9,115,6.083428,6
,0012-9682,2025,Econometrica,The Social Tax: Redistributive Pressure and Labor Supply,"Carranza, Eliana; Donald, Aletheia; Grosset-Touba, Florian; Kaur, Supreet",10.3982/ecta21078,https://doi.org/10.3982/ecta21078,"<jats:p>In low‐income communities in both rich and poor countries, redistributive transfers within kin and social networks are frequent. Such arrangements may distort labor supply—acting as a “social tax” that dampens the incentive to work. We document that across countries, from the United States to Côte d'Ivoire, low‐income groups report strong pressure to share earned income with others; in addition, social groups that undertake more interpersonal transfers work fewer hours. Using a field experiment, we enable piece‐rate factory workers in Côte d'Ivoire to shield income using blocked savings accounts over 9 months. Workers may only deposit earnings increases, relative to baseline, mitigating income effects on labor supply. Offering Private accounts raises work attendance by 6.5% and earnings by 9.4%. These treatment effects are concentrated among workers who report higher redistributive pressure at baseline. To obtain further suggestive evidence on mechanisms, in a supplementary experiment, we vary whether blocked accounts are private or known to the worker's network. When accounts are private, take‐up is substantively higher (60% vs. 14%), with a resultant 8.8% higher earnings. Outgoing transfers do not decline, indicating no loss in redistribution. The welfare benefits of informal redistribution may come at a cost, depressing labor supply and productivity.</jats:p>",journal-article,6,93,5.7094417,3
,0033-5533,2022,The Quarterly Journal of Economics,The Effects of Joining Multinational Supply Chains: New Evidence from Firm-to-Firm Linkages,"Alfaro-Ureña, Alonso; Manelici, Isabela; Vasquez, Jose P",10.1093/qje/qjac006,https://doi.org/10.1093/qje/qjac006,"<jats:title>Abstract</jats:title>
               <jats:p>We study the effects of becoming a supplier to multinational corporations (MNCs) using tax data tracking firm-to-firm transactions in Costa Rica. Event study estimates reveal that domestic firms experience strong and persistent gains in performance after supplying to a first MNC buyer. Four years after, domestic firms employ 26% more workers and have a 4% to 9% higher total factor productivity (TFP). These effects are unlikely to be explained by demand effects or changes in tax compliance. Moreover, suppliers experience a large drop in their sales to all other buyers except the first MNC buyer in the year of the event, followed by a gradual recovery. The dynamics of adjustment in sales to others suggests that firms face short-run capacity constraints that relax over time. Four years later, the sales to others grow by 20%. Most of this growth comes from the acquisition of new buyers, which tend to be “better buyers” (e.g., larger and with more stable supplier relationships). Finally, we collected survey data from domestic firms and MNCs to provide further insights into the wide-ranging benefits of supplying to MNCs. According to our surveys, these benefits range from better managerial practices to a better reputation.</jats:p>",journal-article,3,137,5.5819173,168
